datetime,pandora,Speed,Direction,Temperature,Humidity,Pressure,hour
2014-07-15 06:31:00,9251000000000000.0,1.7,354.7,14.5,80.2,819.7,6
2014-07-15 06:35:00,9485000000000000.0,1.6,7.9,14.5,81.3,819.7,6
2014-07-15 06:43:00,1.19e+16,1.6,354.2,14.5,80.5,819.5,6
2014-07-15 06:48:00,9866000000000000.0,1.0,14.2,14.5,81.0,819.5,6
2014-07-15 06:49:00,1.069e+16,1.1,8.6,14.4,81.2,819.5,6
2014-07-15 07:10:00,8555000000000000.0,2.1,28.3,14.1,83.7,819.5,7
2014-07-15 07:12:00,7944000000000000.0,2.2,27.1,14.2,83.2,819.5,7
2014-07-15 07:14:00,8139000000000000.0,2.3,24.9,14.3,83.0,819.6,7
2014-07-15 07:15:00,8599000000000000.0,2.0,18.8,14.3,83.1,819.6,7
2014-07-15 07:17:00,8387000000000000.0,2.6,30.3,14.4,83.2,819.6,7
2014-07-15 07:19:00,8404000000000000.0,2.8,27.4,14.5,82.6,819.6,7
2014-07-15 07:20:00,8238000000000000.0,3.5,29.7,14.4,83.1,819.6,7
2014-07-15 07:22:00,8502000000000000.0,2.9,25.5,14.4,82.4,819.6,7
2014-07-15 07:24:00,8432000000000000.0,3.2,21.8,14.5,83.3,819.6,7
2014-07-15 07:26:00,8600000000000000.0,2.8,31.8,14.5,82.7,819.5,7
2014-07-15 07:27:00,8685000000000000.0,2.5,29.6,14.5,83.1,819.6,7
2014-07-15 07:29:00,8748000000000000.0,2.8,7.1,14.6,82.8,819.6,7
2014-07-15 07:31:00,8755000000000000.0,2.2,19.9,14.6,83.1,819.6,7
2014-07-15 07:32:00,8535000000000000.0,2.2,18.0,14.7,82.0,819.6,7
2014-07-15 07:34:00,8572000000000000.0,3.7,40.9,14.7,82.2,819.6,7
2014-07-15 07:52:00,8324000000000000.0,2.1,354.6,15.1,81.6,819.5,7
2014-07-15 07:54:00,8070000000000000.0,3.5,23.7,15.2,79.4,819.5,7
2014-07-15 07:57:00,8591000000000000.0,3.1,2.6,15.0,81.4,819.6,7
2014-07-15 07:59:00,8656000000000000.0,2.9,1.2,15.0,80.8,819.7,7
2014-07-15 08:00:00,8609000000000000.0,2.9,5.3,15.1,81.5,819.6,8
2014-07-15 08:02:00,8317000000000000.0,3.4,350.7,15.1,80.3,819.6,8
2014-07-15 08:04:00,8075000000000000.0,3.0,356.4,15.1,80.8,819.7,8
2014-07-15 08:06:00,8584000000000000.0,2.8,352.0,15.2,80.8,819.7,8
2014-07-15 08:07:00,7701000000000000.0,2.2,352.1,15.2,80.5,819.7,8
2014-07-15 08:09:00,7443000000000000.0,3.0,42.9,15.3,82.0,819.7,8
2014-07-15 08:11:00,7105000000000000.0,2.5,45.9,15.5,78.7,819.7,8
2014-07-15 08:12:00,7337000000000000.0,3.2,36.5,15.6,79.1,819.7,8
2014-07-15 08:14:00,7708000000000000.0,2.8,45.7,15.5,78.8,819.8,8
2014-07-15 08:16:00,7498000000000000.0,3.0,40.3,15.6,80.1,819.7,8
2014-07-15 08:34:00,7879000000000000.0,2.9,26.3,15.7,78.1,819.8,8
2014-07-15 08:35:00,7791000000000000.0,2.5,37.6,15.8,78.2,819.8,8
2014-07-15 08:37:00,7597000000000000.0,2.2,57.4,16.0,78.0,819.9,8
2014-07-15 08:39:00,8310000000000000.0,2.2,39.9,16.2,77.4,819.9,8
2014-07-15 08:40:00,8650000000000000.0,2.1,59.1,16.2,78.2,819.9,8
2014-07-15 08:42:00,8394000000000000.0,3.1,57.5,16.4,75.9,819.8,8
2014-07-15 08:44:00,8276000000000000.0,2.9,70.9,16.1,76.7,819.8,8
2014-07-15 08:46:00,8281000000000000.0,2.8,59.5,16.1,77.3,819.8,8
2014-07-15 08:47:00,8692000000000000.0,2.8,57.0,16.1,77.1,819.8,8
2014-07-15 08:49:00,8332000000000000.0,2.9,49.3,16.1,77.7,819.8,8
2014-07-15 08:51:00,7960000000000000.0,3.0,53.8,16.3,75.8,819.8,8
2014-07-15 08:52:00,8067000000000000.0,2.7,65.2,16.3,76.8,819.8,8
2014-07-15 08:54:00,8396000000000000.0,3.0,50.7,16.3,77.5,819.8,8
2014-07-15 08:56:00,8096000000000000.0,2.4,31.8,16.4,75.8,819.8,8
2014-07-15 08:57:00,7610000000000000.0,2.5,358.7,16.4,77.4,819.7,8
2014-07-15 09:15:00,7901000000000000.0,1.8,12.1,16.8,74.7,819.6,9
2014-07-15 09:17:00,7929000000000000.0,3.2,58.3,16.9,73.1,819.5,9
2014-07-15 09:19:00,7617000000000000.0,3.0,78.2,16.9,73.5,819.5,9
2014-07-15 09:21:00,7548000000000000.0,3.7,65.2,16.8,74.2,819.5,9
2014-07-15 09:22:00,7369000000000000.0,3.4,55.4,16.8,73.4,819.5,9
2014-07-15 09:24:00,7377000000000000.0,3.3,70.6,16.6,74.7,819.6,9
2014-07-15 09:26:00,7134000000000000.0,2.5,72.3,16.7,74.1,819.5,9
2014-07-15 09:27:00,6978000000000000.0,2.2,24.3,16.7,73.5,819.5,9
2014-07-15 09:29:00,7322000000000000.0,3.1,38.7,16.7,72.9,819.5,9
2014-07-15 09:31:00,7033000000000000.0,3.2,49.7,16.7,75.0,819.5,9
2014-07-15 09:32:00,7068000000000000.0,2.5,58.2,16.7,73.4,819.5,9
2014-07-15 09:34:00,7461000000000000.0,2.8,47.0,16.6,73.5,819.5,9
2014-07-15 09:36:00,7330000000000000.0,2.8,73.6,16.8,73.9,819.5,9
2014-07-15 09:38:00,7425000000000000.0,3.0,86.5,17.0,73.6,819.5,9
2014-07-15 09:39:00,7755000000000000.0,3.3,81.9,17.1,73.0,819.4,9
2014-07-15 09:57:00,9180000000000000.0,3.6,62.5,17.8,69.8,819.3,9
2014-07-15 09:59:00,8828000000000000.0,3.5,72.0,17.4,71.6,819.3,9
2014-07-15 10:01:00,8389000000000000.0,1.8,63.2,17.4,70.6,819.3,10
2014-07-15 10:02:00,8622000000000000.0,2.2,109.5,17.3,72.0,819.3,10
2014-07-15 10:04:00,8609000000000000.0,2.5,88.3,17.5,70.6,819.3,10
2014-07-15 10:06:00,8486000000000000.0,3.4,68.2,17.7,70.9,819.3,10
2014-07-15 10:07:00,8317000000000000.0,2.8,66.3,17.7,69.9,819.3,10
2014-07-15 10:09:00,7676000000000000.0,3.2,48.9,17.7,72.3,819.3,10
2014-07-15 10:11:00,7412000000000000.0,2.3,73.3,17.7,70.3,819.3,10
2014-07-15 10:15:00,7083000000000000.0,2.6,61.2,17.5,70.9,819.3,10
2014-07-15 10:17:00,6796000000000000.0,2.3,2.5,17.5,70.8,819.3,10
2014-07-15 10:18:00,6663000000000000.0,2.4,30.7,17.4,72.4,819.2,10
2014-07-15 10:37:00,9273000000000000.0,2.1,341.4,18.2,69.9,819.3,10
2014-07-15 10:39:00,9201000000000000.0,0.6,55.0,18.2,69.9,819.2,10
2014-07-15 10:41:00,8844000000000000.0,3.2,359.7,18.4,67.1,819.2,10
2014-07-15 10:43:00,9207000000000000.0,3.3,352.1,18.3,68.8,819.2,10
2014-07-15 10:44:00,9242000000000000.0,3.6,40.2,18.3,67.6,819.1,10
2014-07-15 10:46:00,9430000000000000.0,2.6,28.1,18.1,69.3,819.2,10
2014-07-15 10:48:00,9149000000000000.0,2.3,50.6,18.0,68.3,819.2,10
2014-07-15 10:49:00,8974000000000000.0,2.1,345.5,18.1,67.8,819.2,10
2014-07-15 10:51:00,9012000000000000.0,2.6,348.2,18.4,66.5,819.2,10
2014-07-15 10:53:00,8788000000000000.0,2.1,335.3,18.5,68.3,819.2,10
2014-07-15 10:55:00,8807000000000000.0,1.6,295.1,18.8,65.3,819.2,10
2014-07-15 10:56:00,8706000000000000.0,1.6,295.9,18.8,65.5,819.2,10
2014-07-15 10:58:00,8808000000000000.0,1.7,351.3,18.9,65.8,819.2,10
2014-07-15 11:00:00,8879000000000000.0,2.7,31.9,19.2,65.6,819.2,11
2014-07-15 11:01:00,8845000000000000.0,3.2,358.8,19.3,65.5,819.2,11
2014-07-15 11:19:00,9330000000000000.0,2.1,318.3,18.9,64.7,818.9,11
2014-07-15 11:21:00,9500000000000000.0,2.4,358.0,19.0,64.5,818.9,11
2014-07-15 11:23:00,1.011e+16,2.2,58.8,19.3,64.7,818.9,11
2014-07-15 11:24:00,1.003e+16,1.4,22.3,19.4,63.6,818.9,11
2014-07-15 11:26:00,1.054e+16,2.2,38.1,19.5,63.3,818.9,11
2014-07-15 11:28:00,1.02e+16,1.2,332.7,19.7,64.1,818.9,11
2014-07-15 11:30:00,1.042e+16,1.6,346.9,20.2,62.6,818.9,11
2014-07-15 11:31:00,1.034e+16,2.3,51.4,20.4,60.9,818.9,11
2014-07-15 11:33:00,1.04e+16,2.2,86.4,20.0,60.9,818.9,11
2014-07-15 11:35:00,1.03e+16,1.2,348.6,19.5,61.5,818.9,11
2014-07-15 11:36:00,1.066e+16,1.8,30.0,19.6,62.3,818.8,11
2014-07-15 11:38:00,1.037e+16,2.1,77.4,19.9,60.6,818.8,11
2014-07-15 11:40:00,1.074e+16,2.0,26.6,20.1,61.0,818.8,11
2014-07-15 11:42:00,1.02e+16,2.1,138.6,20.2,60.5,818.7,11
2014-07-15 11:43:00,1.092e+16,1.8,125.4,20.2,60.7,818.7,11
2014-07-15 12:01:00,7443000000000000.0,0.9,14.9,20.3,59.3,818.6,12
2014-07-15 12:03:00,7390000000000000.0,0.6,224.4,20.4,58.9,818.6,12
2014-07-15 12:05:00,7455000000000000.0,2.5,75.8,20.6,57.7,818.6,12
2014-07-15 12:06:00,7723000000000000.0,1.7,78.6,20.6,57.2,818.6,12
2014-07-15 12:08:00,8622000000000000.0,2.9,62.0,20.4,59.4,818.5,12
2014-07-15 12:10:00,8123000000000000.0,2.5,82.3,20.6,58.6,818.5,12
2014-07-15 12:12:00,8207000000000000.0,1.6,135.6,20.8,56.2,818.5,12
2014-07-15 12:13:00,8567000000000000.0,0.6,345.4,20.6,57.1,818.5,12
2014-07-15 12:15:00,8164000000000000.0,2.1,98.3,20.8,57.2,818.5,12
2014-07-15 12:17:00,7866000000000000.0,2.8,83.9,21.0,57.3,818.5,12
2014-07-15 12:18:00,8940000000000000.0,2.6,40.1,21.1,58.2,818.5,12
2014-07-15 12:20:00,8577000000000000.0,1.4,137.9,20.9,56.5,818.4,12
2014-07-15 12:22:00,8609000000000000.0,2.0,354.5,20.9,57.5,818.4,12
2014-07-15 12:24:00,8543000000000000.0,2.1,25.1,21.1,57.0,818.4,12
2014-07-15 12:25:00,7859000000000000.0,2.4,62.0,21.2,56.5,818.4,12
2014-07-15 12:43:00,7133000000000000.0,1.7,346.8,21.2,55.3,818.3,12
